dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,23,3,0.3,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.979032
uci,23,3,0.4,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.989975
uci,23,3,0.4,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.997801
uci,23,3,0.4,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.003916
uci,23,3,0.5,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.067024
uci,23,3,0.4,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.067989
uci,23,3,0.5,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.070644
uci,23,3,0.4,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.075127
uci,23,3,0.6,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.142024
uci,23,3,0.5,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.146204
uci,23,3,0.5,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.149864
uci,23,3,0.5,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.154896
uci,23,3,0.6,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.190398
uci,23,3,0.6,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.216987
uci,23,3,0.6,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.228008
uci,23,3,0.6,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.230828
uci,23,3,0.7,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.258502
uci,23,3,0.7,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.283600
uci,23,3,0.7,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.298996
uci,23,3,0.7,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.302261
uci,23,3,0.7,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.315573
uci,23,3,0.8,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.344458
uci,23,3,0.8,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.365017
uci,23,3,0.8,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.376522
uci,23,3,0.8,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.382708
uci,23,3,0.9,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.426760
uci,23,3,0.8,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.435769
uci,23,3,0.9,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.445553
uci,23,3,0.9,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.445775
uci,23,3,0.9,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.511677
uci,23,3,1.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.513012
uci,23,3,1.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.516047
uci,23,3,0.9,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.520647
uci,23,4,0.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:22.566318
uci,23,3,1.0,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:22.591814
uci,23,3,1.0,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:22.596102
uci,23,3,1.0,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:22.599918
uci,23,4,0.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:22.627019
uci,23,4,0.0,7,0.8093333333333333,0.7949266346100702,0.791753254668862,0.8093333333333333,2025-09-29T01:17:22.664592
